"Date","Price"
"2017-09-22",58.66
"2017-09-25",58.56
"2017-09-26",58.61
"2017-09-27",58.35
"2017-09-28",58.42
"2017-09-29",58.09
"2017-10-02",57.5
"2017-10-03",57.74
"2017-10-04",57.77
"2017-10-05",58.2
"2017-10-06",58.05
"2017-10-09",58.42
"2017-10-10",59.76
"2017-10-11",60.5
"2017-10-12",60.9
"2017-10-13",61.1
"2017-10-16",61.11
"2017-10-17",60.78
"2017-10-18",60.78
"2017-10-19",61.06
"2017-10-20",61.06
"2017-10-23",61.45
"2017-10-24",60.97
"2017-10-25",60.91
"2017-10-26",61.16
"2017-10-27",60.97
"2017-10-30",60.31
"2017-10-31",60.6
"2017-11-01",60.77
"2017-11-02",61
"2017-11-03",61.34
"2017-11-06",60.73
"2017-11-07",61.18
"2017-11-08",62.05
"2017-11-09",61.9
"2017-11-10",62.49
"2017-11-13",62.89
"2017-11-14",63.45
"2017-11-15",62.85
"2017-11-16",65.96
"2017-11-17",65.11
"2017-11-20",65.19
"2017-11-21",65.24
"2017-11-22",64.9
"2017-11-24",65.22
"2017-11-27",65.21
"2017-11-28",65.52
"2017-11-29",65.79
"2017-11-30",65.84
"2017-12-01",65.96
"2017-12-04",66.06
"2017-12-05",66.35
"2017-12-06",66.58
"2017-12-07",65.92
"2017-12-08",65.8
"2017-12-11",66.18
"2017-12-12",66.1
"2017-12-13",66.56
"2017-12-14",66.42
"2017-12-15",66.79
"2017-12-18",66.68
"2017-12-19",67.13
"2017-12-20",67.24
"2017-12-21",66.8
"2017-12-22",66.95
"2017-12-26",67.33
"2017-12-27",67.48
"2017-12-28",67.55
"2017-12-29",67.52
"2018-01-02",66.9
"2018-01-03",67.08
"2018-01-04",67.27
"2018-01-05",67.56
"2018-01-08",67.83
"2018-01-09",67.47
"2018-01-10",67.05
"2018-01-11",66.98
"2018-01-12",67.41
"2018-01-16",67.49
"2018-01-17",68.53
"2018-01-18",68.99
"2018-01-19",69.43
"2018-01-22",70.09
"2018-01-23",70.17
"2018-01-24",70.1
"2018-01-25",70.28
"2018-01-26",71.09
"2018-01-29",70.83
"2018-01-30",70.32
"2018-01-31",70.09
"2018-02-01",69.76
"2018-02-02",68.94
"2018-02-05",66.28
"2018-02-06",66.26
"2018-02-07",66.85
"2018-02-08",64.93
"2018-02-09",65.05
"2018-02-12",65.34
"2018-02-13",65.85
"2018-02-14",65.15
"2018-02-15",66.2
"2018-02-16",66.71
"2018-02-20",62.88
"2018-02-21",61.61
"2018-02-22",62.39
"2018-02-23",62.56
"2018-02-26",63.02
"2018-02-27",62.49
"2018-02-28",61.67
"2018-03-01",61.13
"2018-03-02",61.32
"2018-03-05",61.81
"2018-03-06",61.56
"2018-03-07",61.23
"2018-03-08",62.14
"2018-03-09",62.54
"2018-03-12",62.4
"2018-03-13",62.73
"2018-03-14",62.22
"2018-03-15",61.98
"2018-03-16",62.41
"2018-03-19",61.47
"2018-03-20",61.48
"2018-03-21",61.2
"2018-03-22",60.63
"2018-03-23",59.53
"2018-03-26",60.4
"2018-03-27",60.2
"2018-03-28",61.21
"2018-03-29",61.58
"2018-04-02",59.86
"2018-04-03",60.6
"2018-04-04",61.33
"2018-04-05",61.64
"2018-04-06",60.9
"2018-04-09",60.8
"2018-04-10",60.86
"2018-04-11",60.46
"2018-04-12",60.21
"2018-04-13",60.68
"2018-04-16",61.14
"2018-04-17",61.16
"2018-04-18",60.46
"2018-04-19",60.14
"2018-04-20",58.9
"2018-04-23",58.66
"2018-04-24",58.45
"2018-04-25",58.55
"2018-04-26",59.44
